X,Y,Z,RX,RY,RZ
-481.78,60.684,684.474,-179.996,0.004,-164.86
-481.78,60.684,684.474,-179.996,0.004,-164.86
-482.502,52.58,684.597,-179.997,0.003,-161.72
-482.502,52.58,684.597,-179.997,0.003,-161.72
-483.096,44.435,684.715,-179.997,0.003,-158.581
-483.096,44.435,684.715,-179.997,0.003,-158.581
-483.096,44.435,684.715,-179.997,0.003,-158.581
-483.403,39.111,684.789,-179.996,0.003,-156.523
-483.403,39.111,684.789,-179.996,0.003,-156.523
-483.759,30.995,684.916,-179.996,0.003,-153.387
-483.759,30.995,684.916,-179.996,0.003,-153.387
-483.759,30.995,684.916,-179.996,0.003,-153.387
-483.986,22.849,685.037,-179.997,0.002,-150.29
-483.986,22.849,685.037,-179.997,0.002,-150.29
-484.056,17.678,685.108,-179.996,0.003,-148.255
-484.056,17.678,685.108,-179.996,0.003,-148.255
-484.056,17.678,685.108,-179.996,0.003,-148.255
-484.055,9.562,685.228,-179.996,0.003,-145.118
-484.055,9.562,685.228,-179.996,0.003,-145.118
-483.979,4.25,685.31,-179.996,0.003,-143.05
-483.755,-3.888,685.427,-179.995,0.003,-139.91
-483.755,-3.888,685.427,-179.995,0.003,-139.91
-483.755,-3.888,685.427,-179.995,0.003,-139.91
-483.396,-12.003,685.54,-179.995,0.003,-136.833
-483.081,-17.356,685.619,-179.995,0.003,-134.712
-483.081,-17.356,685.619,-179.995,0.003,-134.712
-482.515,-25.227,685.74,-179.996,0.002,-131.66
-482.515,-25.227,685.74,-179.996,0.002,-131.66
-482.515,-25.227,685.74,-179.996,0.002,-131.66
-482.052,-30.594,685.821,-179.996,0.002,-129.581
-482.052,-30.594,685.821,-179.996,0.002,-129.581
-481.243,-38.656,685.939,-179.996,0.001,-126.444
-481.243,-38.656,685.939,-179.996,0.001,-126.444
-480.642,-43.919,686.021,-179.996,0.001,-124.388
-480.642,-43.919,686.021,-179.996,0.001,-124.388
-480.642,-43.919,686.021,-179.996,0.001,-124.388
-479.611,-51.968,686.139,-179.996,0.0,-121.247
-479.611,-51.968,686.139,-179.996,0.0,-121.247
-478.853,-57.29,686.215,-179.996,0.001,-119.167
-478.853,-57.29,686.215,-179.996,0.001,-119.167
-477.599,-65.275,686.333,-179.996,0.0,-116.029
-477.599,-65.275,686.333,-179.996,0.0,-116.029
-477.599,-65.275,686.333,-179.996,0.0,-116.029
