X,Y,Z,RX,RY,RZ
-478.017,89.942,684.051,-179.998,0.0,-176.719
-478.536,86.61,684.101,-179.998,0.0,-175.422
-479.033,83.276,684.15,-179.998,0.0,-174.126
-479.506,79.938,684.2,-179.998,0.0,-172.83
-479.955,76.598,684.249,-179.998,-0.0,-171.533
-480.382,73.256,684.299,-179.998,-0.0,-170.237
-480.785,69.911,684.348,-179.998,-0.0,-168.94
-481.165,66.565,684.398,-179.998,-0.0,-167.644
-481.521,63.216,684.447,-179.998,-0.0,-166.347
-481.855,59.866,684.497,-179.998,-0.0,-165.051
-482.165,56.514,684.546,-179.998,-0.0,-163.754
-482.451,53.16,684.596,-179.998,-0.001,-162.458
-482.715,49.806,684.645,-179.998,-0.001,-161.162
-482.955,46.45,684.695,-179.998,-0.001,-159.865
-483.171,43.093,684.744,-179.998,-0.001,-158.569
-483.365,39.736,684.793,-179.999,-0.001,-157.272
-483.535,36.378,684.843,-179.999,-0.001,-155.976
-483.682,33.019,684.892,-179.999,-0.001,-154.679
-483.805,29.661,684.941,-179.999,-0.001,-153.383
-483.905,26.302,684.991,-179.999,-0.001,-152.086
-483.982,22.943,685.04,-179.999,-0.001,-150.79
-484.035,19.584,685.089,-179.999,-0.001,-149.493
-484.065,16.226,685.138,-179.999,-0.001,-148.197
-484.072,12.868,685.188,-179.999,-0.001,-146.901
-484.056,9.511,685.237,-179.999,-0.001,-145.604
-484.016,6.155,685.286,-179.999,-0.001,-144.308
-483.953,2.8,685.335,-179.999,-0.001,-143.011
-483.866,-0.554,685.384,-179.999,-0.001,-141.715
-483.757,-3.907,685.434,-179.999,-0.002,-140.418
-483.624,-7.258,685.483,-179.999,-0.002,-139.122
-483.468,-10.608,685.532,-179.999,-0.002,-137.825
-483.289,-13.956,685.581,-179.999,-0.002,-136.529
-483.087,-17.301,685.63,-179.999,-0.002,-135.233
-482.861,-20.645,685.679,-179.999,-0.002,-133.936
-482.612,-23.986,685.728,-179.999,-0.002,-132.64
-482.341,-27.325,685.777,-179.999,-0.002,-131.343
-482.046,-30.662,685.826,-180.0,-0.002,-130.047
-481.728,-33.995,685.875,-180.0,-0.002,-128.75
-481.387,-37.326,685.924,-180.0,-0.002,-127.454
-481.023,-40.653,685.973,-180.0,-0.002,-126.157
-480.636,-43.977,686.022,-180.0,-0.002,-124.861
-480.226,-47.298,686.071,-180.0,-0.002,-123.564
-479.793,-50.615,686.12,-180.0,-0.002,-122.268
-479.337,-53.929,686.169,-180.0,-0.002,-120.972
-478.858,-57.239,686.218,180.0,-0.002,-119.675
-478.356,-60.544,686.267,180.0,-0.002,-118.379
-477.832,-63.846,686.316,180.0,-0.002,-117.082
-477.285,-67.143,686.365,180.0,-0.002,-115.786
-476.715,-70.435,686.414,180.0,-0.002,-114.489
-476.122,-73.723,686.463,180.0,-0.002,-113.193
-475.507,-77.006,686.511,180.0,-0.002,-111.896
-474.869,-80.284,686.56,179.999,-0.002,-110.6
-474.208,-83.557,686.609,179.999,-0.002,-109.304
-473.525,-86.824,686.658,179.999,-0.002,-108.007
-472.819,-90.086,686.707,179.999,-0.002,-106.711
-472.091,-93.343,686.755,179.999,-0.002,-105.414
-471.341,-96.594,686.804,179.999,-0.002,-104.118
-470.568,-99.838,686.853,179.999,-0.002,-102.821
-469.772,-103.077,686.901,179.999,-0.002,-101.525
-468.955,-106.31,686.95,179.999,-0.002,-100.228
-468.115,-109.536,686.999,179.999,-0.002,-98.932
-467.253,-112.755,687.047,179.999,-0.002,-97.635
-466.369,-115.968,687.096,179.999,-0.002,-96.339
-465.463,-119.174,687.145,179.999,-0.002,-95.043
-464.534,-122.373,687.193,179.999,-0.002,-93.746
-463.584,-125.565,687.242,179.998,-0.002,-92.45
-462.612,-128.75,687.291,179.998,-0.002,-91.153
-461.618,-131.927,687.339,179.998,-0.002,-89.857
-460.602,-135.097,687.388,179.998,-0.002,-88.56
-459.564,-138.259,687.436,179.998,-0.002,-87.264
-458.505,-141.413,687.485,179.998,-0.002,-85.967
-457.424,-144.559,687.533,179.998,-0.002,-84.671
-456.321,-147.696,687.582,179.998,-0.002,-83.375
-455.197,-150.826,687.63,179.998,-0.002,-82.078
-454.052,-153.947,687.679,179.998,-0.002,-80.782
-452.885,-157.059,687.727,179.998,-0.002,-79.485
-451.697,-160.162,687.775,179.998,-0.002,-78.189
-450.487,-163.257,687.824,179.998,-0.002,-76.892
-449.256,-166.342,687.872,179.997,-0.002,-75.596
-448.004,-169.419,687.921,179.997,-0.002,-74.299
-446.731,-172.486,687.969,179.997,-0.002,-73.003
-445.438,-175.543,688.017,179.997,-0.002,-71.706
-444.123,-178.591,688.066,179.997,-0.002,-70.41
-442.787,-181.629,688.114,179.997,-0.002,-69.114
-441.431,-184.657,688.162,179.997,-0.002,-67.817
-440.053,-187.675,688.211,179.997,-0.002,-66.521
-438.656,-190.682,688.259,179.997,-0.002,-65.224
-437.237,-193.68,688.307,179.997,-0.002,-63.928
-435.798,-196.667,688.355,179.997,-0.002,-62.631
-434.339,-199.643,688.404,179.997,-0.001,-61.335
-432.86,-202.608,688.452,179.997,-0.001,-60.038
-431.36,-205.563,688.5,179.997,-0.001,-58.742
-429.84,-208.506,688.548,179.996,-0.001,-57.445
-428.3,-211.438,688.596,179.996,-0.001,-56.149
-426.74,-214.359,688.645,179.996,-0.001,-54.853
-425.16,-217.269,688.693,179.996,-0.001,-53.556
-423.56,-220.167,688.741,179.996,-0.001,-52.26
-421.94,-223.053,688.789,179.996,-0.001,-50.963
-420.301,-225.927,688.837,179.996,-0.001,-49.668
-418.642,-228.789,688.885,179.996,-0.001,-48.378
-416.964,-231.639,688.933,179.996,-0.001,-47.097
-415.267,-234.477,688.981,179.996,-0.001,-45.825
-413.55,-237.303,689.029,179.996,-0.001,-44.562
-411.813,-240.116,689.077,179.996,-0.001,-43.308
-410.058,-242.916,689.125,179.996,-0.0,-42.063
-408.284,-245.703,689.173,179.996,-0.0,-40.826
-406.491,-248.478,689.221,179.996,-0.0,-39.599
-404.678,-251.239,689.269,179.996,-0.0,-38.381
-402.848,-253.987,689.317,179.996,-0.0,-37.172
-400.998,-256.722,689.365,179.996,-0.0,-35.972
-399.13,-259.444,689.413,179.996,0.0,-34.781
-397.243,-262.152,689.461,179.996,0.0,-33.599
-395.339,-264.846,689.509,179.995,0.0,-32.426
-393.415,-267.526,689.556,179.995,0.0,-31.262
-391.474,-270.193,689.604,179.995,0.0,-30.107
-389.515,-272.845,689.652,179.995,0.0,-28.961
-387.537,-275.484,689.7,179.995,0.0,-27.824
-385.542,-278.108,689.748,179.995,0.001,-26.696
-383.529,-280.717,689.796,179.995,0.001,-25.577
-381.498,-283.312,689.843,179.995,0.001,-24.467
-379.45,-285.893,689.891,179.995,0.001,-23.366
-377.385,-288.458,689.939,179.995,0.001,-22.274
-375.302,-291.009,689.986,179.995,0.001,-21.191
-373.201,-293.544,690.034,179.995,0.001,-20.117
-371.084,-296.065,690.082,179.995,0.001,-19.052
-368.95,-298.57,690.13,179.995,0.001,-17.996
-366.799,-301.06,690.177,179.995,0.001,-16.949
-364.631,-303.535,690.225,179.995,0.001,-15.911
-362.446,-305.993,690.272,179.995,0.001,-14.882
-360.245,-308.436,690.32,179.995,0.002,-13.862
-358.027,-310.864,690.368,179.995,0.002,-12.851
-355.793,-313.275,690.415,179.995,0.002,-11.849
-353.543,-315.671,690.463,179.995,0.002,-10.855
-351.276,-318.05,690.51,179.995,0.002,-9.871
-348.994,-320.413,690.558,179.995,0.002,-8.896
-346.696,-322.759,690.605,179.995,0.002,-7.93
-344.382,-325.089,690.653,179.995,0.002,-6.973
-342.052,-327.403,690.7,179.995,0.002,-6.025
-339.707,-329.7,690.748,179.995,0.002,-5.086
-337.346,-331.98,690.795,179.995,0.002,-4.156
-334.97,-334.243,690.843,179.995,0.002,-3.235
-332.579,-336.489,690.89,179.995,0.002,-2.323
-330.173,-338.719,690.938,179.995,0.003,-1.42
-327.752,-340.931,690.985,179.995,0.003,-0.526
-325.316,-343.125,691.032,179.995,0.003,0.359
-322.866,-345.302,691.08,179.995,0.003,1.235
-320.4,-347.462,691.127,179.995,0.003,2.102
-317.921,-349.604,691.174,179.995,0.003,2.96
-315.427,-351.729,691.222,179.995,0.003,3.809
-312.919,-353.836,691.269,179.995,0.003,4.649
-310.397,-355.925,691.316,179.995,0.003,5.48
-307.861,-357.996,691.364,179.995,0.003,6.302
-305.311,-360.048,691.411,179.995,0.003,7.115
-302.748,-362.083,691.458,179.995,0.003,7.919
-300.171,-364.1,691.505,179.995,0.003,8.714
-297.581,-366.098,691.553,179.995,0.003,9.5
-294.983,-368.085,691.6,179.993,0.006,10.277
-292.386,-370.071,691.647,179.985,0.014,11.045
-289.791,-372.059,691.674,179.974,0.028,11.804
-287.195,-374.045,691.641,179.961,0.043,12.555
-284.597,-376.028,691.529,179.949,0.059,13.296
-281.996,-378.008,691.338,179.937,0.075,14.028
-279.393,-379.985,691.067,179.925,0.091,14.751
-276.787,-381.959,690.716,179.913,0.107,15.465
-274.178,-383.931,690.286,179.901,0.123,16.17
-271.565,-385.9,689.776,179.889,0.139,16.866
-268.948,-387.865,689.187,179.878,0.155,17.553
-266.328,-389.828,688.518,179.866,0.172,18.231
-263.702,-391.788,687.769,179.855,0.188,18.9
-261.072,-393.745,686.94,179.844,0.205,19.56
-258.437,-395.705,686.025,179.834,0.221,20.211
-255.787,-397.714,684.985,179.828,0.234,20.858
-253.11,-399.811,683.79,179.829,0.241,21.505
-250.414,-401.952,682.474,179.835,0.245,22.147
-247.708,-404.091,681.072,179.842,0.248,22.78
-244.991,-406.223,679.589,179.848,0.252,23.404
-242.262,-408.348,678.026,179.854,0.255,24.019
-239.522,-410.465,676.381,179.86,0.258,24.626
-236.769,-412.573,674.656,179.867,0.261,25.223
-234.003,-414.672,672.849,179.873,0.264,25.811
-231.224,-416.76,670.96,179.879,0.267,26.391
-228.43,-418.837,668.99,179.885,0.27,26.961
-225.622,-420.902,666.938,179.891,0.273,27.523
-222.799,-422.954,664.805,179.897,0.276,28.075
-219.961,-424.992,662.589,179.903,0.279,28.619
